CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
e1cfb64403b9   consumidor_mongo3   8.45%     31.95MiB / 3.823GiB   0.82%     32.5kB / 34.3kB   623kB / 0B       13
76eb8623dfaf   cliente_historico   0.31%     25.62MiB / 3.823GiB   0.65%     14.1kB / 5.21kB   6.14MB / 0B      4
06a48e8b6ffd   consumidor_mongo2   8.88%     30.33MiB / 3.823GiB   0.77%     30.9kB / 33kB     0B / 0B          14
93293ebba40a   consumidor_redis2   14.82%    18.87MiB / 3.823GiB   0.48%     31.4kB / 39.4kB   610kB / 0B       2
3de1edace4a4   consumidor_redis3   5.62%     21.2MiB / 3.823GiB    0.54%     29.3kB / 35.2kB   0B / 0B          6
f6c6dc9972aa   consumidor_mongo1   10.13%    29.62MiB / 3.823GiB   0.76%     32.1kB / 33.5kB   2.95MB / 0B      13
09d2e9763551   consumidor_redis1   5.73%     19.14MiB / 3.823GiB   0.49%     29.2kB / 35.1kB   3.53MB / 0B      8
796aaa473809   consumidor_mongo4   11.11%    30.95MiB / 3.823GiB   0.79%     32.3kB / 34kB     3.01MB / 0B      15
9e6d2bc85166   consumidor_redis5   29.19%    18.86MiB / 3.823GiB   0.48%     26.5kB / 30kB     0B / 0B          2
77d9cf1a7fc4   consumidor_redis6   19.53%    23.33MiB / 3.823GiB   0.60%     28kB / 31.9kB     0B / 0B          9
9831c1646d9a   kafka_ui            30.24%    63.64MiB / 3.823GiB   1.63%     3.55kB / 126B     8.4MB / 65.5kB   20
b6fb06b499b0   consumidor_mongo6   26.12%    29.44MiB / 3.823GiB   0.75%     32.2kB / 33.5kB   328kB / 0B       8
ac257e676ed0   consumidor_mongo5   5.38%     29.43MiB / 3.823GiB   0.75%     32.5kB / 34.8kB   598kB / 0B       8
b563bdb719bf   mongodb             80.49%    139.4MiB / 3.823GiB   3.56%     29.3kB / 40.1kB   254kB / 0B       67
ec88417ccd06   redis               10.97%    8.352MiB / 3.823GiB   0.21%     43.9kB / 23.3kB   77.8kB / 0B      6
b5344535f548   kafka               82.96%    397.7MiB / 3.823GiB   10.16%    392kB / 301kB     11.4MB / 238kB   109
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f0298453745f   productor           72.82%    647.6MiB / 3.823GiB   16.54%    3.07kB / 823B     2.22MB / 0B       2
e51d2676a24c   cliente_atm         7.56%     23.62MiB / 3.823GiB   0.60%     12.5kB / 15.2kB   5.65MB / 0B       1
8b029feb43c6   sectorizador        0.00%     23.24MiB / 3.823GiB   0.59%     20.6kB / 28.6kB   5.95MB / 0B       4
96cc78a6160c   consumidor_redis4   6.59%     19.17MiB / 3.823GiB   0.49%     33.8kB / 40.1kB   0B / 0B           7
e1cfb64403b9   consumidor_mongo3   31.30%    30.55MiB / 3.823GiB   0.78%     35.9kB / 38.6kB   623kB / 0B        13
76eb8623dfaf   cliente_historico   0.55%     25.62MiB / 3.823GiB   0.65%     14.9kB / 5.54kB   6.14MB / 0B       4
06a48e8b6ffd   consumidor_mongo2   13.34%    32.27MiB / 3.823GiB   0.82%     34.1kB / 36.7kB   0B / 0B           14
93293ebba40a   consumidor_redis2   10.37%    19.62MiB / 3.823GiB   0.50%     34.3kB / 43.9kB   610kB / 0B        8
3de1edace4a4   consumidor_redis3   11.39%    20.41MiB / 3.823GiB   0.52%     31.2kB / 38kB     0B / 0B           8
f6c6dc9972aa   consumidor_mongo1   43.80%    31.15MiB / 3.823GiB   0.80%     35.7kB / 38.2kB   2.95MB / 0B       15
09d2e9763551   consumidor_redis1   30.22%    19.64MiB / 3.823GiB   0.50%     31.6kB / 38.5kB   3.53MB / 0B       8
796aaa473809   consumidor_mongo4   7.41%     29.45MiB / 3.823GiB   0.75%     34.8kB / 36.8kB   3.01MB / 0B       8
9e6d2bc85166   consumidor_redis5   27.82%    18.86MiB / 3.823GiB   0.48%     28.6kB / 33.2kB   0B / 0B           2
77d9cf1a7fc4   consumidor_redis6   5.25%     18.88MiB / 3.823GiB   0.48%     30.3kB / 35.3kB   0B / 0B           8
9831c1646d9a   kafka_ui            91.92%    66.42MiB / 3.823GiB   1.70%     3.55kB / 126B     8.63MB / 81.9kB   20
b6fb06b499b0   consumidor_mongo6   14.21%    30.56MiB / 3.823GiB   0.78%     35.4kB / 37.2kB   328kB / 0B        13
ac257e676ed0   consumidor_mongo5   4.07%     30.08MiB / 3.823GiB   0.77%     35.9kB / 38.9kB   598kB / 0B        13
b563bdb719bf   mongodb             5.60%     92.07MiB / 3.823GiB   2.35%     31.1kB / 45.5kB   254kB / 0B        51
ec88417ccd06   redis               75.09%    8.352MiB / 3.823GiB   0.21%     45.2kB / 23.9kB   77.8kB / 0B       6
b5344535f548   kafka               117.65%   400.4MiB / 3.823GiB   10.23%    435kB / 330kB     11.4MB / 238kB    113
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f0298453745f   productor           27.74%    682.2MiB / 3.823GiB   17.43%    3.07kB / 823B     2.22MB / 0B       2
e51d2676a24c   cliente_atm         0.03%     23.63MiB / 3.823GiB   0.60%     14kB / 17.6kB     5.65MB / 0B       1
8b029feb43c6   sectorizador        0.00%     23.24MiB / 3.823GiB   0.59%     21.7kB / 30.2kB   5.95MB / 0B       4
96cc78a6160c   consumidor_redis4   6.41%     19.21MiB / 3.823GiB   0.49%     35.6kB / 42.8kB   0B / 0B           7
e1cfb64403b9   consumidor_mongo3   8.80%     30MiB / 3.823GiB      0.77%     39.4kB / 43kB     623kB / 0B        14
76eb8623dfaf   cliente_historico   3.50%     25.62MiB / 3.823GiB   0.65%     15.7kB / 5.79kB   6.14MB / 0B       4
06a48e8b6ffd   consumidor_mongo2   13.46%    30.54MiB / 3.823GiB   0.78%     36.6kB / 39.8kB   0B / 0B           14
93293ebba40a   consumidor_redis2   17.67%    19.45MiB / 3.823GiB   0.50%     36.5kB / 47.2kB   610kB / 0B        8
3de1edace4a4   consumidor_redis3   4.98%     21.41MiB / 3.823GiB   0.55%     32.9kB / 40.6kB   0B / 0B           8
f6c6dc9972aa   consumidor_mongo1   20.12%    30.55MiB / 3.823GiB   0.78%     38kB / 41.3kB     2.95MB / 0B       13
09d2e9763551   consumidor_redis1   8.82%     19.46MiB / 3.823GiB   0.50%     33.2kB / 40.9kB   3.53MB / 0B       7
796aaa473809   consumidor_mongo4   34.81%    30.17MiB / 3.823GiB   0.77%     38.6kB / 41.4kB   3.01MB / 0B       14
9e6d2bc85166   consumidor_redis5   17.73%    18.87MiB / 3.823GiB   0.48%     30.7kB / 36.3kB   0B / 0B           2
77d9cf1a7fc4   consumidor_redis6   3.57%     19.3MiB / 3.823GiB    0.49%     32.2kB / 38.1kB   0B / 0B           8
9831c1646d9a   kafka_ui            34.59%    68.61MiB / 3.823GiB   1.75%     3.55kB / 126B     8.81MB / 81.9kB   20
b6fb06b499b0   consumidor_mongo6   10.93%    30.09MiB / 3.823GiB   0.77%     38.6kB / 40.9kB   328kB / 0B        14
ac257e676ed0   consumidor_mongo5   13.20%    29.64MiB / 3.823GiB   0.76%     38.4kB / 42.1kB   598kB / 0B        14
b563bdb719bf   mongodb             26.39%    96.58MiB / 3.823GiB   2.47%     32.4kB / 49.9kB   254kB / 0B        64
ec88417ccd06   redis               3.17%     8.355MiB / 3.823GiB   0.21%     49.7kB / 26.5kB   77.8kB / 0B       6
b5344535f548   kafka               87.78%    409.6MiB / 3.823GiB   10.47%    471kB / 354kB     11.4MB / 238kB    112
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f0298453745f   productor           132.65%   747.4MiB / 3.823GiB   19.09%    3.07kB / 823B     2.22MB / 0B       2
