CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
2a9eaf369eb1   redis               22.52%    8.586MiB / 3.823GiB   0.22%     33.9kB / 17.5kB   0B / 0B           7
f3357cf3b0c3   mongodb             19.63%    91.51MiB / 3.823GiB   2.34%     24kB / 34.5kB     455kB / 0B        58
63164fef332b   kafka               132.36%   500.6MiB / 3.823GiB   12.79%    302kB / 254kB     315kB / 238kB     147
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           0.61%     607.9MiB / 3.823GiB   15.53%    3kB / 9.04kB      0B / 0B           2
86e5b18b605d   consumidor_mongo1   1.47%     29.51MiB / 3.823GiB   0.75%     42.2kB / 40.9kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   1.01%     29.53MiB / 3.823GiB   0.75%     44.4kB / 43.1kB   0B / 0B           8
18b601d476db   cliente_historico   0.07%     25.62MiB / 3.823GiB   0.65%     11.6kB / 4.7kB    0B / 0B           4
b426a63bf272   consumidor_mongo2   1.62%     29.52MiB / 3.823GiB   0.75%     41.1kB / 39.3kB   0B / 0B           8
b5d110b43478   consumidor_redis1   7.33%     18.95MiB / 3.823GiB   0.48%     38.1kB / 44.3kB   0B / 0B           2
7056de128021   consumidor_mongo4   2.04%     29.69MiB / 3.823GiB   0.76%     56.1kB / 57.4kB   0B / 0B           8
16dcbc09ad82   cliente_atm         0.01%     23.6MiB / 3.823GiB    0.60%     14.3kB / 19.2kB   0B / 0B           1
ff5686d65dba   consumidor_redis3   8.57%     18.94MiB / 3.823GiB   0.48%     36.6kB / 41.2kB   0B / 0B           2
ef37e428e834   consumidor_redis2   9.15%     18.94MiB / 3.823GiB   0.48%     38.1kB / 42.2kB   0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     16.6kB / 21.2kB   0B / 0B           4
fe7132683f7a   consumidor_redis4   0.88%     18.99MiB / 3.823GiB   0.49%     46.6kB / 59.4kB   0B / 0B           2
ae4604f656f1   kafka_ui            160.53%   193.9MiB / 3.823GiB   4.95%     2.55kB / 126B     2.49MB / 81.9kB   24
2a9eaf369eb1   redis               2.20%     8.332MiB / 3.823GiB   0.21%     56.7kB / 24.6kB   0B / 0B           6
f3357cf3b0c3   mongodb             1.20%     86.41MiB / 3.823GiB   2.21%     38.9kB / 41.2kB   782kB / 0B        45
63164fef332b   kafka               173.97%   430MiB / 3.823GiB     10.99%    330kB / 288kB     627kB / 238kB     126
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
