CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
530f4ddb2be4   kafka_ui            234.68%   113.5MiB / 3.823GiB   2.90%     2.34kB / 126B     55.2MB / 81.9kB   23
a904fd02bd23   mongodb             19.56%    221.8MiB / 3.823GiB   5.67%     22.6kB / 31kB     150MB / 0B        45
ceb0d2ea3b2c   redis               15.09%    23.24MiB / 3.823GiB   0.59%     29.6kB / 15.3kB   16.5MB / 0B       6
7ee7bfcd070a   kafka               478.64%   507.5MiB / 3.823GiB   12.97%    363kB / 246kB     70.1MB / 238kB    148
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           126.70%   1.039GiB / 3.823GiB   27.18%    2.42kB / 823B     2.43MB / 0B       2
df9b3263d5c5   consumidor_redis2   0.60%     21.26MiB / 3.823GiB   0.54%     35.3kB / 49.5kB   4.46MB / 0B       2
6e85ac607f95   consumidor_mongo3   3.58%     31.83MiB / 3.823GiB   0.81%     40.6kB / 48.5kB   4.35MB / 0B       8
52327ce982a8   consumidor_redis4   0.75%     19MiB / 3.823GiB      0.49%     34.9kB / 47.9kB   549kB / 0B        2
986f9a8d571d   cliente_atm         0.04%     28.05MiB / 3.823GiB   0.72%     11.3kB / 14.3kB   11MB / 0B         1
c7e7fefd2ff5   consumidor_redis1   19.18%    19.19MiB / 3.823GiB   0.49%     33.6kB / 44.6kB   1.61MB / 0B       2
419d1a66ad25   sectorizador        0.00%     40.53MiB / 3.823GiB   1.04%     13.2kB / 16.9kB   23.9MB / 0B       4
287dc782ef1b   consumidor_redis3   9.50%     18.95MiB / 3.823GiB   0.48%     35.9kB / 49.2kB   36.9kB / 0B       2
b46a6a7a11f6   consumidor_mongo2   1.90%     33.29MiB / 3.823GiB   0.85%     40.7kB / 48.9kB   5.43MB / 0B       8
5efedfa0f876   consumidor_mongo4   15.47%    31.95MiB / 3.823GiB   0.82%     41.4kB / 48.9kB   4.49MB / 0B       8
82a1fb9fe702   consumidor_mongo1   71.78%    32.82MiB / 3.823GiB   0.84%     42.3kB / 50.6kB   5.52MB / 0B       8
753b27d990ef   cliente_historico   1.59%     27.16MiB / 3.823GiB   0.69%     10.9kB / 4.45kB   7.18MB / 0B       4
