CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
ab5a9941c874   cliente_atm         0.05%     23.66MiB / 3.823GiB   0.60%     20.5kB / 30.2kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   17.29%    30.75MiB / 3.823GiB   0.79%     475kB / 436kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     24.03MiB / 3.823GiB   0.61%     573kB / 566kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   10.08%    19.86MiB / 3.823GiB   0.51%     788kB / 1.24MB    1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   13.94%    31.27MiB / 3.823GiB   0.80%     866kB / 964kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   13.68%    19.93MiB / 3.823GiB   0.51%     442kB / 564kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.24%     288.5MiB / 3.823GiB   7.37%     45.2kB / 5.11kB   0B / 197kB    36
23ba0c1227d1   mongodb             18.92%    85.91MiB / 3.823GiB   2.19%     1.31MB / 389kB    0B / 0B       39
2410c119e440   redis               27.82%    11.21MiB / 3.823GiB   0.29%     2.29MB / 851kB    872kB / 0B    6
418757c50144   kafka               222.97%   526.1MiB / 3.823GiB   13.44%    1.11MB / 1.96MB   0B / 238kB    152
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.32%     212MiB / 3.823GiB     5.42%     6.66kB / 991kB    2.32MB / 0B   2
cced7653085d   cliente_historico   0.13%     25.63MiB / 3.823GiB   0.65%     13.2kB / 5.54kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.02%     23.67MiB / 3.823GiB   0.60%     21.8kB / 32.4kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   1.27%     30.88MiB / 3.823GiB   0.79%     626kB / 690kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     24.03MiB / 3.823GiB   0.61%     573kB / 566kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   8.84%     19.86MiB / 3.823GiB   0.51%     843kB / 1.33MB    1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   11.86%    31.27MiB / 3.823GiB   0.80%     927kB / 1.03MB    3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   0.63%     19.93MiB / 3.823GiB   0.51%     568kB / 886kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.09%     288.5MiB / 3.823GiB   7.37%     45.2kB / 5.11kB   0B / 201kB    36
23ba0c1227d1   mongodb             0.93%     86.23MiB / 3.823GiB   2.20%     1.62MB / 479kB    0B / 0B       39
2410c119e440   redis               0.65%     11.41MiB / 3.823GiB   0.29%     2.69MB / 904kB    872kB / 0B    6
418757c50144   kafka               187.32%   438.8MiB / 3.823GiB   11.21%    1.21MB / 2.21MB   0B / 238kB    127
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           19.05%    212MiB / 3.823GiB     5.42%     7.32kB / 1.19MB   2.32MB / 0B   2
cced7653085d   cliente_historico   0.06%     25.63MiB / 3.823GiB   0.65%     14kB / 5.79kB     6.25MB / 0B   4
